Table A1 - Electricity consumption by domestic appliances 1970 to 2021 (GWh),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,GWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,NON DIRECTIONAL LIGHT - General Lamp Shape,NON DIRECTIONAL LIGHT - Halogen,NON DIRECTIONAL LIGHT - Compact Fluorescent Lamp,NON DIRECTIONAL LIGHT - LED,NON DIRECTIONAL LIGHT - Total,DIRECTIONAL LIGHT - Dir General Lamp Shape,DIRECTIONAL LIGHT - Dir Halogen,DIRECTIONAL LIGHT - Dir LED,DIRECTIONAL LIGHT - Total,TOTAL LIGHTING,COLD - Chest Freezer,COLD - Fridge-freezer,COLD - Refrigerator,COLD - Upright Freezer,COLD - Total ,WET - Washing Machine,WET - Washer-dryer,WET - Dishwasher,WET - Tumble Dryer,WET - Total,PRIMARY TV - LCD,PRIMARY TV - PDP,PRIMARY TV - OLED,PRIMARY TV - Other TV,PRIMARY TV - Total,SECONDARY TV - LCD (2),SECONDARY TV - OLED (2),SECONDARY TV - Other TV (2),SECONDARY TV - Total (2),TOTAL TV,CONSUMER ELECTRONICS - Set Top Box,CONSUMER ELECTRONICS - DVD/VCR,CONSUMER ELECTRONICS - Games Consoles,CONSUMER ELECTRONICS - Power Supply Units,CONSUMER ELECTRONICS - Total,COMPUTERS - Desktop,COMPUTERS - Laptops,COMPUTERS - Monitors,COMPUTERS - Printers,COMPUTERS - Multifunction devices,COMPUTERS - Total,COOKING - Electric Oven,COOKING - Electric Hob,COOKING - Microwave,COOKING - Kettle,COOKING - Total,OTHER - Vacuum cleaners,OTHER - Central hot air heating,OTHER - TOTAL,
Last updated,2018,2018,2018,2018,,2018,2018,2018,,,2018,2018,2018,2018,,2018,2010,2018,2010,,2020,2020,2020,2020,,2020,2020,,,,2010,2010,2010,2018,,2013,2013,2018,2010,2010,,2017,2017,2010,2010,,2013,2015,,
1970,.,.,.,.,.,.,.,.,.,"11,297", . , . , . , . , . , . , . , . , . ,., . , . , . ,,., -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , . , . , . ,., . , . , . ," 1,796 ","1,796", 531 , . ,531,
1971,.,.,.,.,.,.,.,.,.,"11,618", . , . , . , . , . , . , . , . , . ,., . , . , . ,,., -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , . , . , . ,., . , . , . ," 1,926 ","1,926", 537 , . ,537,
1972,.,.,.,.,.,.,.,.,.,"11,934", . , . , . , . , . , . , . , . , . ,., . , . , . ,,., -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , . , . , . ,., . , . , . ," 2,052 ","2,052", 542 , . ,542,
1973,.,.,.,.,.,.,.,.,.,"12,247", . , . , . , . , . , . , . , . , . ,., . , . , . ,,., -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , . , . , . ,., . , . , . ," 2,171 ","2,171", 547 , . ,547,
1974,.,.,.,.,.,.,.,.,.,"12,555", . , . , . , . , . , . , . , . , . ,., . , . , . ,,., -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , . , . , . ,., . , . , . ," 2,276 ","2,276", 552 , . ,552,
1975,.,.,.,.,.,.,.,.,.,"12,860", . , . , . , . , . , . ,, . , . ,, . , . , . ,,., -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , . , . , . ,., . , . , . ," 2,362 ","2,362", 557 , . ,557,
1976,.,.,.,.,.,.,.,.,.,"13,161", . , . , . , . , . , . ,, . , . ,, . , . , . ,,., -   , -   , -   , -   , -   , -   , 3 , -   , -   ,3, . , -   , . , . , . ,., . , . , 1 ," 2,430 ","2,431", 562 , . ,562,
1977,.,.,.,.,.,.,.,.,.,"13,458", . , . , . , . , . , . ,, . , . ,, . , . , . ,,., -   , -   , -   , -   , -   , -   , 6 , -   , -   ,6, 2 , -   , . , . , . ,2, . , . , 5 ," 2,492 ","2,497", 566 , . ,566,
1978,.,.,.,.,.,.,.,.,.,"13,750", . , . , . , . , . , . ,, . , . ,, . , . , . ,,., -   , -   , -   , -   , -   , -   , 48 , -   , -   ,48, 13 , -   , . , . , . ,13, . , . , 12 ," 2,560 ","2,572", 571 , . ,571,
1979,.,.,.,.,.,.,.,.,.,"14,038", . , . , . , . , . , . ,, . , . ,, . , . , . ,,., -   , -   , -   , -   , -   , -   , 150 , -   , -   ,150, 41 , -   , . , . , . ,41, . , . , 24 ," 2,630 ","2,654", 576 , . ,576,
1980,.,.,.,.,.,.,.,.,.,"14,321"," 4,353 "," 8,596 "," 5,082 "," 5,578 ","23,609"," 5,739 ",, 75 , . ,"5,814", . , . , . ,,., -   , -   , -   , -   , -   , -   , 329 , -   , -   ,329, 84 , -   , . , . , . ,84, 953 ," 2,048 ", 42 ," 2,703 ","5,746", 581 , 344 ,925,
1981,.,.,.,.,.,.,.,.,.,"14,589"," 4,424 "," 8,735 "," 5,164 "," 5,668 ","23,991"," 5,832 ",, 93 , . ,"5,925", . , . , . ,,., -   , -   , -   , -   , -   , -   , 588 , -   , -   ,588, 138 , -   , . , . , . ,138, 987 ," 2,061 ", 66 ," 2,783 ","5,897", 586 , 684 ,"1,270",
1982,.,.,.,.,.,.,.,.,.,"14,849"," 4,451 "," 8,790 "," 5,196 "," 5,703 ","24,140"," 5,868 ",, 115 , . ,"5,983", . , . , . ,,., -   , -   , -   , -   , -   , -   , 906 , -   , -   ,906, 197 , -   , . , . , . ,197," 1,011 "," 2,066 ", 97 ," 2,859 ","6,033", 589 ," 1,021 ","1,610",
1983,.,.,.,.,.,.,.,.,.,"15,102"," 4,488 "," 8,862 "," 5,239 "," 5,750 ","24,339"," 5,917 ",, 143 , . ,"6,060", . , . , . ,,., -   , -   , -   , -   , -   , -   ," 1,243 ", -   , -   ,"1,243", 257 , -   , . , 2 , . ,259," 1,038 "," 2,105 ", 153 ," 2,943 ","6,239", 593 ," 1,355 ","1,948",
1984,.,.,.,.,.,.,.,.,.,"15,347"," 4,534 "," 8,954 "," 5,293 "," 5,809 ","24,590"," 5,977 ",, 178 , . ,"6,155", . , . , . ,,., -   , -   , -   , -   , -   , -   ," 1,556 ", -   , -   ,"1,556", 319 , -   , . , 5 , . ,324," 1,067 "," 2,157 ", 251 ," 3,032 ","6,507", 599 ," 1,685 ","2,285",
1985,.,.,.,.,.,.,.,.,.,"15,582"," 4,576 "," 9,037 "," 5,339 "," 5,862 ","24,814"," 6,348 ",, 221 , . ,"6,569", . , . , . ,,., -   , -   , -   , -   , -   , -   ," 1,836 ", -   , -   ,"1,836", 381 , -   , . , 11 , . ,392," 1,098 "," 2,196 ", 393 ," 3,119 ","6,806", 605 ," 2,012 ","2,618",
1986,.,.,.,.,.,.,.,.,.,"15,805"," 4,617 "," 9,121 "," 5,382 "," 5,914 ","25,034"," 6,418 ",, 275 , . ,"6,693", . , . , . ,,., -   , -   , -   , -   , -   , -   ," 2,089 ", -   , -   ,"2,089", 445 , -   , . , 18 , . ,463," 1,129 "," 2,230 ", 566 ," 3,199 ","7,124", 612 ," 2,336 ","2,948",
1987,.,.,.,.,.,.,.,.,.,"16,015"," 4,659 "," 9,209 "," 5,424 "," 5,967 ","25,259"," 6,493 ",, 341 , . ,"6,834", . , . , . ,,., -   , -   , -   , -   , -   , -   ," 2,317 ", -   , -   ,"2,317", 511 , -   , . , 27 , . ,538," 1,162 "," 2,264 ", 745 ," 3,276 ","7,447", 619 ," 2,657 ","3,275",
1988,.,.,.,.,.,.,.,.,.,"16,222"," 4,702 "," 9,299 "," 5,463 "," 6,020 ","25,484"," 6,573 ",, 424 , . ,"6,997", . , . , . ,,., -   , -   , -   , -   , -   , -   ," 2,518 ", -   , -   ,"2,518", 578 , -   , . , 37 , . ,615," 1,195 "," 2,307 ", 910 ," 3,353 ","7,765", 626 ," 2,974 ","3,600",
1989,.,.,.,.,.,.,.,.,.,"16,420"," 4,744 "," 9,388 "," 5,495 "," 6,069 ","25,696"," 6,655 ",, 527 , . ,"7,182", . , . , . ,,., -   , -   , -   , -   , -   , -   ," 2,688 ", -   , -   ,"2,688", 646 , 1 , . , 47 , . ,694," 1,230 "," 2,352 "," 1,053 "," 3,432 ","8,067", 634 ," 3,288 ","3,922",
1990,.,.,.,.,.,.,.,.,.,"16,889"," 4,774 "," 9,455 "," 5,511 "," 6,102 ","25,842"," 6,969 "," 1,394 ", 655 ," 1,936 ","10,954", . , . , . ,"2,638","2,638", -   , -   ,163,163,"2,801", 254 ," 2,823 ", 33 , 12 ,"3,122", 715 , 4 , . , 58 , . ,778," 1,262 "," 2,392 "," 1,176 "," 3,504 ","8,334", 635 ," 3,599 ","4,234",
