Domestic consumption by end use and fuel 1990 to 2023 (ktoe),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This worksheet contains one table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Some cells refer to notes which can be found on the notes worksheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Some shorthand is used in this table, [x] = unavailable.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Total - space heating,Total - water heating,Total - cooking,Total - lighting,Total - appliances,"Total - domestic
[Note 1]",Solid fuels - space heating,Solid fuels - water heating,Solid fuels - cooking,Solid fuels - lighting,Solid fuels - appliances,Solid fuels - total,Natural gas - space heating,Natural gas - water heating,Natural gas - cooking,Natural gas - lighting,Natural gas - appliances,Natural gas - total,Electricity - space heating,Electricity - water heating,Electricity - cooking,Electricity - lighting,Electricity - appliances,Electricity - total,Oil - space heating,Oil - water heating,Oil - cooking,Oil - lighting,Oil - appliances,Oil - total,Heat - space heating,Heat - water heating,Heat - cooking,Heat - lighting,Heat - appliances,Heat - total,Bioenergy & waste - space heating,Bioenergy & waste - water heating,Bioenergy & waste - cooking,Bioenergy & waste - lighting,Bioenergy & waste - appliances,Bioenergy & waste - total
1970,"21,302","10,720","2,199","2,663",[x],"36,884",[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
1971,"19,782","10,843","2,183","2,813",[x],"35,621",[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
1972,"20,411","10,711","2,163","2,976",[x],"36,261",[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
1973,"21,571",[x],"2,154","3,174",[x],"37,576",[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
1974,"21,864","10,628","2,142","3,368",[x],"38,002",[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
1975,"20,890","10,514","2,125","3,533",[x],"37,062",[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
1976,"20,260","10,607","2,101","3,667",[x],"36,634",[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
1977,"21,443","10,585","2,078","3,791",[x],"37,898",[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
1978,"22,360","10,374","2,051","3,904",[x],"38,689",[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
1979,"25,203","10,313","2,027","4,023",[x],"41,566",[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
