Year,"Road transport, Electricity_GWh",Overall Total_x,Overall Total_y,Tech Overall
2005.0,19.1895,34355.020000000004,85323.0,119697.2095
2006.0,18.7243,32284.880000000005,80470.0,112773.6043
2007.0,18.3754,29854.210000000003,80693.0,110565.58540000001
2008.0,18.2591,35599.43,81304.0,116921.6891
2009.0,18.0265,35227.270000000004,78967.0,114212.2965
2010.0,18.0265,36308.86,79616.0,115942.8865
2011.0,21.1666,28877.29,78181.0,107079.4566
2012.0,26.4001,27272.35,76007.0,103305.7501
2013.0,32.9129,25527.85,71574.0,97134.7629
2014.0,67.5703,23515.86,69306.0,92889.4303
2015.0,97.1105,23562.38,67549.0,91208.4905
2016.0,132.93089999999998,24562.56,66004.0,90699.4909
2017.0,183.9866,22097.000000000004,65047.0,87327.9866
2018.0,613.7151,21480.610000000004,63729.0,85823.3251
2019.0,853.642,21085.19,62878.0,84816.832
2020.0,1127.0633,20945.63,61081.8581412416,83154.55144124161
2021.0,2262.2676,21969.07,58817.3440591339,83048.6816591339
2022.0,3988.6248,16762.796992391348,56429.45054747723,77180.87233986858
2023.0,6180.879800000001,14905.897351428866,53918.17760625202,75004.95475768088
2024.0,7842.588044643402,12948.88942027092,51531.77872778382,72323.25619269814
2025.0,10166.390527963638,11644.55091109872,49083.64451999124,70894.5859590536
2026.0,12789.7568898201,10433.391435027122,46526.196540913545,69749.34486576077
2027.0,15712.687129855156,9156.562402814629,43859.434790532105,68728.68432320189
2028.0,18935.181248545647,7814.063814491034,41845.44996249769,68594.69502553437
2029.0,22457.239245533943,6405.895670056343,40147.887112176046,69011.02202776633
2030.0,26278.861121177677,4932.057969510555,38368.23859716114,69579.15768784937
