Year,Domestic_mean_consumption_KWh_per_meter
2005,4602.303766
2006,4457.037281
2007,4391.635621
2008,4198.086843
2009,4151.65597
2010,4147.74387
2011,4077.508344
2012,4015.0
2013,3940.0
2014,3940.401091
2015,3938.379651
2016,3839.916935
2017,3777.289166
2018,3669.098266
2019,3628.292151
2020,3800.057648
2021,3555.710814
2022,3239.487895
2023,3300.877976
2024,3307.6268126842187
2025,3245.3869503315946
2026,3183.147087978956
2027,3120.9072256263316
2028,3058.667363273693
2029,2996.4275009210687
2030,2934.18763856843
