Time,Label,Smart in Smart Mode,Smart in Traditional Mode,Total Smart Meters,Non-Smart Meters,Type
2018.75,,7027058.0,913408.0,7940466.0,17922870.0,Historical
2019.0,,7325328.0,1150502.0,8475830.0,17265694.0,Historical
2019.25,,7654779.0,1370965.0,9025744.0,16667334.0,Historical
2019.5,,8017974.0,1653253.0,9671227.0,16002566.0,Historical
2019.75,,8431865.0,1989202.0,10421067.0,16073174.0,Historical
2020.0,,8932589.0,2028510.0,10961099.0,15593200.0,Historical
2020.25,,8953977.0,2009973.0,10963950.0,15536534.0,Historical
2020.5,,9367496.0,2022874.0,11390370.0,15132341.0,Historical
2020.75,,9884841.0,2118166.0,12003007.0,14852091.0,Historical
2021.0,,10318212.0,2040020.0,12358232.0,14097011.0,Historical
2021.25,,10838574.0,2126942.0,12965516.0,13698565.0,Historical
2021.5,,11362116.0,2184441.0,13546557.0,13289775.0,Historical
2021.75,,12688315.0,2119559.0,14807874.0,13766041.0,Historical
2022.0,,13689569.0,1655389.0,15344958.0,13406319.0,Historical
2022.25,,13973050.0,1730072.0,15703122.0,13029841.0,Historical
2022.5,,14430267.0,1783568.0,16213835.0,12660156.0,Historical
2022.75,,14935654.0,1787570.0,16723224.0,12222663.0,Historical
2023.0,,15665279.0,1641173.0,17306452.0,11869790.0,Historical
2023.25,,15938382.0,1788822.0,17727204.0,11439730.0,Historical
2023.5,,16622405.0,1574667.0,18197072.0,10943460.0,Historical
2023.75,,17150072.0,1476635.0,18626707.0,10553301.0,Historical
2024.0,,17519005.0,1534830.0,19053835.0,10172114.0,Historical
2024.25,,17997551.0,1461446.0,19458997.0,9874517.0,Historical
2024.5,,18398332.0,1436461.0,19834793.0,9509405.0,Historical
2024.75,,18872335.0,1394465.0,20266800.0,9166345.0,Historical
2025.0,,19331646.0,1310699.0,20642345.0,8776674.0,Historical
2025.25,2025 Q2,20047674.710769176,1609066.3415384665,21656741.052307606,8577470.720000267,Forecast
2025.5,2025 Q3,20577341.011281967,1602035.324102573,22179376.33538437,8234145.157948971,Forecast
2025.75,2025 Q4,21107007.311795235,1595004.3066666722,22702011.618461132,7890819.595897675,Forecast
2026.0,2026 Q1,21636673.612308025,1587973.2892307714,23224646.901538372,7547494.033846378,Forecast
2026.25,2026 Q2,22166339.912820816,1580942.271794878,23747282.184615135,7204168.471795082,Forecast
2026.5,2026 Q3,22696006.213333607,1573911.254358977,24269917.4676919,6860842.909743786,Forecast
2026.75,2026 Q4,23225672.513846397,1566880.2369230837,24792552.75076914,6517517.34769249,Forecast
2027.0,2027 Q1,23755338.814359188,1559849.2194871828,25315188.0338459,6174191.785641193,Forecast
2027.25,2027 Q2,24285005.11487198,1552818.2020512894,25837823.316922665,5830866.223589897,Forecast
2027.5,2027 Q3,24814671.415384293,1545787.1846153885,26360458.599999905,5487540.661539078,Forecast
2027.75,2027 Q4,25344337.71589756,1538756.167179495,26883093.883076668,5144215.0994877815,Forecast
2028.0,2028 Q1,25874004.016410828,1531725.1497435942,27405729.16615343,4800889.537436485,Forecast
2028.25,2028 Q2,26403670.31692314,1524694.1323077008,27928364.44923067,4457563.975385189,Forecast
2028.5,2028 Q3,26933336.61743641,1517663.1148718,28450999.732307434,4114238.413333893,Forecast
2028.75,2028 Q4,27463002.917948723,1510632.0974359065,28973635.015384197,3770912.8512825966,Forecast
2029.0,2029 Q1,27992669.21846199,1503601.0800000057,29496270.298461437,3427587.2892313004,Forecast
2029.25,2029 Q2,28522335.518974304,1496570.0625641048,30018905.5815382,3084261.727180004,Forecast
2029.5,2029 Q3,29052001.81948757,1489539.0451282114,30541540.864614964,2740936.165128708,Forecast
2029.75,2029 Q4,29581668.119999886,1482508.0276923105,31064176.147692204,2397610.6030774117,Forecast
2030.0,2030 Q1,30111334.420513153,1475477.010256417,31586811.430768967,2054285.0410261154,Forecast
2030.25,2030 Q2,30641000.721025467,1468445.9928205162,32109446.71384573,1710959.4789748192,Forecast
2030.5,2030 Q3,31170667.021538734,1461414.9753846228,32632081.99692297,1367633.916923523,Forecast
2030.75,2030 Q4,31700333.32205105,1454383.957948722,33154717.279999733,1024308.3548722267,Forecast
